序号,职位标题,薪资范围,公司名称,工作地点,所处行业,学历要求,每周天数,实习时长,福利待遇,职位描述,简历要求,截止日期,详细地址,详情页url
1,数据分析师,150/天,剑鱼标讯,北京,剑鱼标讯,硕士,5天／周,实习6个月,"不加班, 留学生实习, 周末双休, 地铁周边","工作职责：
1、基于招投标数据，分析商用密码、数据安全、网络安全产业，编写产业分析报告；
2、研究数据支撑的产业供需对接方法，梳理产业供需对接平台需求，设计系统原型；
3、设计产业供需对接平台的最小可行产品MVP，参与平台运营与管理；
4、负责客户需求分析及定制化分析报告交付，制作媒体内容；

职位要求
1、统计、数据科学、市场营销、大数据等专业；
2、具备数据可视化、市场分析、数据分析、Tableau、PowerBI、帆软等相关经验；
3、具备市场分析或咨询公司实习经验、具备视频制作能力优先；", 中文,2025-12-12,北京市/北京市/丰台区 汉威国际广场4区5号楼,https://www.shixiseng.com/intern/inn_fflbi9krr3kz?pcm=pc_SearchList
2,数据分析师,150/天,剑鱼标讯,郑州,剑鱼标讯,硕士,5天／周,实习6个月,"不加班, 留学生实习, 周末双休, 地铁周边","工作职责：
1、基于招投标数据，分析商用密码、数据安全、网络安全招采项目数据，编写产业分析报告；
2、研究基于招采数据的销售线索挖掘及市场营销方法；
3、分析行业招采情况，汇总梳理行业推进情况，形成行业营销方案；
4、负责基于BI平台（零代码平台）搭建市场分析看板及营销BI系统；

职位要求
1、统计、数据科学、市场营销、大数据等专业，具备PYTHON编程能力；
2、具备数据可视化、市场分析、数据分析、Tableau、PowerBI、帆软等相关经验；
3、具备市场分析或咨询公司实习经验、具备政企行业市场研究项目经验优先；", 中文,2025-12-12,河南省/郑州市/金水区 未来大厦5楼,https://www.shixiseng.com/intern/inn_votaemxwqcuv?pcm=pc_SearchList
3,数据分析师,180-250/天,居然设计家,上海,居然设计家,本科,3天／周,实习3个月,"陆家嘴办公, 地铁周边, 阿里巴巴子公司, 周末双休, 1对1优秀导师, 互联网公司","岗位职责：
1、协助进行日常业务数据提取、整理、清洗和分析，为业务决策提供数据支持。
2、参与构建和优化数据报表，监控核心业务指标，及时发现并预警数据异常。
3、通过SQL、Excel等工具，对海量数据进行多维度分析，挖掘潜在问题和增长机会。
4、配合团队完成专题数据分析项目，支持产品、运营、市场等团队的需求。
5、持续学习和探索新的数据分析方法和工具，提升分析效率和深度。

岗位要求：
1、本科及以上在校学生，统计学、数学、计算机、经济学等相关专业优先。
2、每周可到岗实习3天及以上，且能连续实习3个月以上优先
3、数据敏感度高： 对数据有极强的洞察力，善于从数据中发现问题、提出假设并验证。
4、熟练掌握SQL： 能够独立编写SQL查询语句，进行高效的数据提取和处理。
5、熟练使用Excel： 精通Excel各项函数和图表功能，能高效进行数据整理、分析和可视化。
6、具备优秀的逻辑思维、学习与沟通表达能力；有数据分析实习或项目经验者优先。", 中文,2025-12-19,上海市/上海市/浦东新区 居然设计家峨山路91弄-130号陆家嘴软件园12号楼4层,https://www.shixiseng.com/intern/inn_l5p0nmomabe5?pcm=pc_SearchList
4,数据分析师,250-500/天,拓端数据,上海,拓端数据,不限,5天／周,实习3个月,"远程实习, 自宅工作, 弹性工作","【任职要求】
1、了解行业基础知识，熟练使用一种数据统计分析工具，能快速有效的给出数据分析方法并给出结论；
2、熟悉SQL语言，对大数据进行筛选过滤，快速处理数据；熟悉相关数据分析和挖掘工具，如：Python、R、SAS、Matlab、WEKA、SPSS modeler； 3、具备一定的互联网产品知识及思路，能够将常规定向数据处理逻辑演变成为具有一定商业价值的互联网数据产品； 4、思维敏捷、对大数据具有敏锐的洞察和分析能力，与创新意识，能独立提出挖掘方案和思路； 5、逻辑性强，能独立编写专业的行业数据分析报告，及时发现业务中隐含的漏洞变化和问题；
6、了解互联网趋势，熟悉大数据发展方向及市场现状。
【岗位职责】
1、负责公司客户的数据的统计分析与建模处理；
2、完成前期沟通、方案评估、进行数据处理和分析，并完整报告分析撰写；
3、提供对应数据分析报告的售后咨询服务。
【你将获得】
1、利用碎片化时间实践自己的专业知识，提高自己的技术能力。
2、提供实习证明和背景调查", 不限,2026-3-31,杨浦国定东路200号1号楼裙楼,https://www.shixiseng.com/intern/inn_rh8nacshdmjv?pcm=pc_SearchList
5,数据分析师,100-150/天,新浪,北京,新浪,本科,5天／周,实习3个月,"地铁周边, 不加班, 周末双休, 接受大一大二, 零基础实习","【岗位职责】
1、数据支持：负责业务数据处理，包含但不限于数据清洗、数据整合、指标计算等，为业务提供数据层面的支持和洞察；
2、行业研究：负责日常行业数据挖掘，基于大量文本数据建立语义模型，发现行业热点内容；
3、商业数据底层建设：协助部门内部检验及优化当前商业数据底层结构的合理性及准确性，完成相关数据底层测算。
【职位要求】
1、掌握基础程序语言及统计相关工具、数据分析可视化工具，如 Python、SQL、Tableau等。
2、熟练操作办公软件：Excel、Word、PPT、XMind等。
3、对主流社交媒体具备较深刻的认知和使用体会，自主学习意愿强，对互联网营销、商业数据分析等具备基础知识储备和技能储备。
4、本科或研究生在读，统计学、商业分析、数学等理科专业优先。
5、每周可支持到岗实习4天及以上。", 中文,2026-4-8,北京市/北京市/朝阳区 启皓大厦,https://www.shixiseng.com/intern/inn_8rd2du3k4coi?pcm=pc_SearchList
6,数据分析师,200-250/天,奇富科技,北京,奇富科技,本科,5天／周,实习6个月,"业务数据分析, 专业带教, 实习津贴, 免费班车","【岗位职责】
 1.承担数据指标建设和数据可视化相关工作，并期望发现指标异动，定位原因。
 2.参与业务专项分析，通过量化分析等方式输出分析结论。
 3.研究和评估业务策略上线效果，推进业务重要的决策。
【岗位要求】 
1.掌握量化分析技能及工具：包括不限于常用的统计分析方法、数据挖掘工具语言。
2.能快速学习，思维敏捷，对数据敏感，并能够清晰的表达自己的观点。
3.计算机、数学、统计学、信管、经济等教育背景或知名互联网公司经验者优先。
4.熟练掌握SQL。", 中文,2026-2-3,北京市/北京市/朝阳区 360大厦A座,https://www.shixiseng.com/intern/inn_zvhhqrm0yipi?pcm=pc_SearchList
7,数据分析师,180-250/天,熵链科技,杭州,熵链科技,本科,4天／周,实习3个月,"留学生实习, 不打卡, 周末双休, 不加班, 实习津贴","一、岗位职责
1. 数据处理与清洗：使用Python对原始数据进行收集、整理、清洗和预处理，处理缺失值、异常值等数据质量问题，为后续分析提供高质量数据。
2. 数据分析与建模：运用Python的数据分析库（如Pandas、Numpy）和机器学习库（如Scikit-learn），对数据进行探索性分析、统计建模和预测分析，挖掘数据价值，发现业务规律。
3. 可视化呈现：使用Matplotlib、Seaborn、Plotly等可视化工具，将分析结果以图表、报表等直观形式呈现，辅助业务部门理解数据背后的信息。
4. 支持业务需求：协助业务部门提出数据需求，通过数据分析提供决策支持，解答业务疑问，为产品优化、运营策略制定等提供数据依据。
5. 数据报告撰写：撰写数据分析报告，清晰阐述分析思路、方法、结论和建议，向团队汇报分析成果。
二、任职要求
1. 学历与专业：统计学、数学、计算机科学、经济学、金融学等相关专业，本科及以上在读学生，能够保证3 - 6个月实习期，每周出勤至少4天。
2. 技术能力
◦ 熟练掌握Python编程，熟悉基本语法、函数、类等编程结构，具备良好的代码编写习惯。
◦ 熟练使用Pandas、Numpy等数据分析库进行数据处理和分析，掌握Scikit-learn等机器学习库的基础模型应用。
◦ 熟悉Matplotlib、Seaborn等数据可视化库，能够制作清晰美观的数据图表；了解Tableau、Power BI等可视化工具更佳。
◦ 掌握SQL语言，能够进行数据库（如MySQL、Oracle等）的基本操作，包括数据查询、插入、更新和删除等。", 中文,2025-11-26,浙江省/杭州/滨江区 杭州高新软件园,https://www.shixiseng.com/intern/inn_nhdeonxbvm6n?pcm=pc_SearchList
8,数据分析师（实习）,200-400/天,墨泊可士,深圳,墨泊可士,本科,5天／周,实习3个月,"暑期实习, 可转正实习, 远程实习, 留学生实习","岗位职责:
负责对应行业的例行数据分析支持工作；
支持相关行业例行业务分析，产出相关分析报告；
承接业务需求，协助搭建分析模型/数据看板/监控体系，支持业务侧业绩管理需求；
参与业务侧相关的对接、协调和跨部门推动工作；
辅助参与其他业务管理相关工作。
岗位需求：
本科及以上学历;
具备扎实的SQL编写能力，能够根据需要通过SQL完成定制化数据提取工作；
具备扎实的office特别是Excel软件实操能力，能够熟练应用Excel工具对数据进行处理与分析；
具备一定的通过tableau搭建常规数据看板、进行数据处理和业务分析的能力；
具备基本的分析能力，能够运用基本的分析模型和分析逻辑对数据进行处理，挖掘数据背后的业务本质；
具备较强的学习能力以及自我驱动力，能主动思考和创新以提升工作效率，有灵活的沟通能力；
能够应用Python等编程语言/数据分析软件为加分项", 中文,2026-1-20,广东省/深圳市/福田区,https://www.shixiseng.com/intern/inn_lcvwh5ohe5ab?pcm=pc_SearchList
9,数据分析师实习,200-300/天,哔哩哔哩,上海,哔哩哔哩,本科,4天／周,实习6个月,"上市公司, 五险一金","工作职责:工作职责：1、负责核心流量业务的日常数据监控，搭建和维护关键指标的数据报表，及时发现并预警异常波动。2、深入业务，通过专题分析和数据挖掘，对流量分发效率、用户增长路径、内容消费偏好等方向进行探索，为策略制定和优化提供数据洞察。3、协助进行A/B实验的设计与评估，对实验结果进行科学分析，并撰写清晰的分析报告，为产品和运营的迭代提供量化依据。
工作要求:任职要求：1、熟练掌握数据分析工具，如 SQL（能够编写复杂查询语句进行数据提取和处理）、Excel（熟练运用函数、数据透视表等进行数据分析）等，具备一定的数据挖掘和统计分析能力。2、对数据可视化工具有一定了解，能够使用 Tableau、PowerBI 等工具进行报表制作和数据分析结果展示者优先。3、具备良好的市场调研能力，熟悉市场调研的方法和流程，能够独立设计调研问卷、组织用户访谈、分析调研数据并撰写调研报告。4、了解基本的用户增长模型和理论，如 AARRR 模型、增长黑客理念等，对用户增长策略的制定和执行有一定的认识和思考。", 中文 英文,2026-12-2,政立路485号国正中心3号楼,https://www.shixiseng.com/intern/inn_oqjmdt2qzvmn?pcm=pc_SearchList
10,数据分析师（实习）,150/天,联和金融,上海,联和金融,本科,4天／周,实习3个月,"留学生实习, 零基础实习, 周末双休, Office, 数据支持, 数据维护, 数据深度分析","工作内容：
1. 参与实体企业数化转型业务，协助完成数据相关的收集整理及分析，为企业提供解决方案，实现企业数据资产积累
2. 负责为公司各类数据模块/产品的设计与开发提供支持，包括逻辑梳理、数据维护等
3. 为业务分析及建模提供数据支持，包括业务数据的深度分析及价值挖掘
4. 在深入理解公司业务的基础上，发现业务潜在拓展机会，给出建设性意见

岗位要求：
1. 本科及以上学历；专业不限
2. 能熟练运用Office等常用办公软件
3. 具备良好的沟通协调能力，逻辑清晰，思维敏捷
4. 热于创新，积极探索，有较强的自我学习能力", 中文,2025-12-25,上海市/上海市/长宁区 汇享1399 延安西路1399号305室,https://www.shixiseng.com/intern/inn_wesr6y45v89l?pcm=pc_SearchList
